李商隐	夜雨寄北	何当共剪西窗烛，却话巴山夜雨时。
李商隐	宿骆氏亭寄怀崔雍崔衮	秋阴不散霜飞晚，留得枯荷听雨声。
苏轼	定风波 · 南海归，赠王定国侍人寓娘	试问岭南应不好？却道：此心安处是吾乡。
苏轼	江城子 · 密州出猎	会挽雕弓如满月，西北望，射天狼。
苏轼	卜算子 · 黄州定慧院寓居作	拣尽寒枝不肯栖，寂寞沙洲冷。
老子	道德经（第十二章）	难得之货，令人行妨。
龚自珍	己亥杂诗 · 其五	落红不是无情物，化作春泥更护花。
龚自珍	己亥杂诗	我劝天公重抖擞，不拘一格降人才。
商汤	盘铭	苟日新，日日新，又日新。
屈原	楚辞 · 渔父	举世皆浊我独清，众人皆醉我独醒！
庄子	庄子 · 内篇 · 大宗师	相濡以沫，不如相忘于江湖。
孔子	论语 · 雍也篇 · 第十一章	一箪食，一瓢饮，在陋巷，人不堪其忧，回也不改其乐。
荆轲	易水歌	风萧萧兮易水寒，壮士一去兮不复还。
司马迁	报任安书	究天人之际，通古今之变，成一家之言。
两汉乐府	长歌行	少壮不努力，老大徒伤悲。
葛洪	抱朴子 · 外篇 · 博喻卷第三十八	志合者，不以山海为远。
曹植	七步诗	本是同根生，相煎何太急？
王羲之	兰亭集序	向之所欣，俯仰之间，已为陈迹。
陶渊明	饮酒（其五）	问君何能尔？心远地自偏。
无名氏	木兰诗	双兔傍地走，安能辨我是雄雌？
骆宾王	咏鹅	鹅，鹅，鹅，曲项向天歌。
苏味道	正月十五夜	火树银花合，星桥铁锁开。
陈陶	陇西行四首（其二）	可怜无定河边骨，犹是春闺梦里人。
施耐庵	西江月	恰如猛虎卧荒丘，潜伏爪牙忍受。
王勃	滕王阁序	落霞与孤鹜齐飞，秋水共长天一色。
张若虚	春江花月夜	江畔何人初见月？江月何年初照人？
张九龄	赋得自君之出矣	思君如满月，夜夜减清辉。
王之涣	凉州词二首 · 其一	羌笛何须怨杨柳，春风不度玉门关。
孟浩然	春晓	夜来风雨声，花落知多少？
王昌龄	出塞	但使龙城飞将在，不教胡马度阴山。
李白	独坐敬亭山	相看两不厌，只有敬亭山。
王维	鸟鸣涧	月出惊山鸟，时鸣春涧中。
崔颢	黄鹤楼	黄鹤一去不复返，白云千载空悠悠。
杜甫	望岳	会当凌绝顶，一览众山小。
张继	枫桥夜泊	月落乌啼霜满天，江枫渔火对愁眠。
岑参	白雪歌送武判官归京	忽如一夜春风来，千树万树梨花开。
张志和	渔歌子 · 西塞山前白鹭飞	青箬笠，绿蓑衣，斜风细雨不须归。
司空曙	喜外弟卢纶见宿	雨中黄叶树，灯下白头人。
卢纶	塞下曲	平明寻白羽，没在石棱中。
孟郊	游子吟	谁言寸草心，报得三春晖。
白居易	问刘十九	晚来天欲雪，能饮一杯无？
柳宗元	永州八记 · 其一 · 始得西山宴游记	心凝形释，与万化冥合。
温庭筠	新添声杨柳枝	玲珑骰子安红豆，入骨相思知不知？
元稹	离思 · 其四	曾经沧海难为水，除却巫山不是云。
黄巢	不第后赋菊	冲天香阵透长安，满城尽带黄金甲。
崔护	题都城南庄	人面不知何处去，桃花依旧笑春风。
冯延巳	南乡子 · 细雨湿流光	细雨湿流光，芳草年年与恨长。
王翰（子羽）	凉州词二首 · 其一	醉卧沙场君莫笑，古来征战几人回？
李煜	一斛珠 · 晓妆初过	向人微露丁香颗，一曲清歌，暂引樱桃破。
欧阳修	朝中措 · 送刘仲原甫出守维扬	文章太守，挥毫万字，一饮千钟。
周敦颐	爱莲说	出淤泥而不染，濯清涟而不妖。
王安石	桂枝香 · 金陵怀古	征帆去棹残阳里，背西风，酒旗斜矗。
晏几道	阮郎归	欲将沉醉换悲凉，清歌莫断肠。
舒亶	虞美人 · 寄公度	浮生只合尊前老，雪满长安道。
黄庭坚	寄黄几复	桃李春风一杯酒，江湖夜雨十年灯。
贺铸	六州歌头	不请长缨，系取天骄种，剑吼西风。
秦观	鹊桥仙	两情若是久长时，又岂在朝朝暮暮？
贺铸	鹧鸪天·半死桐	空床卧听南窗雨，谁复挑灯夜补衣！
叶梦得	点绛唇 · 绍兴乙卯登绝顶小亭	空惆怅，少年豪放，莫学衰翁样。
李清照	鹧鸪天 · 桂花	何须浅碧深红色，自是花中第一流。
李清照	夏日绝句	生当作人杰，死亦为鬼雄。
岳飞	小重山	欲将心事付瑶琴，知音少，弦断有谁听？
陈与义	临江仙 · 夜登小阁忆洛中旧游	杏花疏影里，吹笛到天明。
岳飞	满江红	莫等闲，白了少年头，空悲切！
朱熹	观书有感	问渠那得清如许？为有源头活水来。
陆游	沈园（其一）	伤心桥下春波绿，曾是惊鸿照影来。
陆游	卜算子 · 咏梅	零落成泥碾作尘，只有香如故。
张孝祥	念奴娇 · 过洞庭	尽挹西江，细斟北斗，万象为宾客。
陆游	诉衷情令	此生谁料，心在天山，身老沧洲。
辛弃疾	青玉案 · 元夕	蓦然回首，那人却在，灯火阑珊处。
辛弃疾	木兰花慢 · 滁州送范倅	十分好月，不照人圆。
刘过	唐多令	欲买桂花同载酒，终不似、少年游。
姜夔	扬州慢	念桥边红药，年年知为谁生？
文天祥	过零丁洋	人生自古谁无死？留取丹心照汗青！
柳永	雨霖铃 · 秋别	便纵有千种风情，更与何人说？
林景熙	溪亭	独行穿落叶，闲坐数流萤。
范仲淹	渔家傲 · 秋思	人不寐，将军白发征夫泪。
蒋捷	一剪梅 · 舟过吴江	红了樱桃，绿了芭蕉。
黄公绍	青玉案	花无人戴，酒无人劝，醉也无人管。
元好问	摸鱼儿 · 雁丘词	渺万里层云，千山暮雪，只影向谁去？
元好问	摸鱼儿 · 雁丘词	问世间、情为何物，直教生死相许？
蒋捷	江城梅花引 · 荆溪阻雪	今夜雪，有梅花，似我愁。
马致远	越调 · 天净沙 · 秋思	夕阳西下，断肠人在天涯。
杨慎	临江仙	滚滚长江东逝水，浪花淘尽英雄。
张养浩	山坡羊 · 潼关怀古	兴，百姓苦；亡，百姓苦。
刘基	如梦令	风起，风起，棹入白苹花里。
归有光	项脊轩志	庭有枇杷树，吾妻死之年所手植也，今已亭亭如盖矣。
高濂	山窗听雪敲竹	飞雪有声，惟在竹间最雅。
张岱	陶庵梦忆 · 卷三 · 湖心亭看雪	拥毳衣炉火，独往湖心亭看雪。
